Datu kopa,Iestāde,Pievienots,Atjaunots,Atjaunošanas biežums
Oficiālā elektroniskā adrese (e-adrese),Valsts digitālās attīstības aģentūra,2019-10-01,2026-04-20,pastāvīgi
Tiesību aktu veidi,Valsts kanceleja,2021-10-12,2026-04-20,katru dienu
Statistika par Latvija.gov.lv e-pakalpojumiem,Valsts digitālās attīstības aģentūra,2020-04-09,2026-04-20,citi
TVP tīmekļvietņu saturs,Valsts kanceleja,2020-05-08,2026-04-20,katru dienu
Eiropas Savienības fondu 14-20 perioda līdzfinansētie projekti,Centrālā finanšu un līgumu aģentūra,2018-02-07,2026-04-19,katru dienu
Vakances,Nodarbinātības Valsts Aģentūra,2020-03-23,2026-04-19,katru dienu
Publisko personu un iestāžu saraksts,LR Uzņēmumu reģistrs,2018-06-12,2026-04-19,katru dienu
Iepirkumu rezultāti (e-konkursi),Valsts digitālās attīstības aģentūra,2019-07-19,2026-04-19,katru dienu
Iepirkumu grozījumi (e-konkursi),Valsts digitālās attīstības aģentūra,2019-07-19,2026-04-19,katru dienu
Izsludinātie iepirkumi (e-konkursi),Valsts digitālās attīstības aģentūra,2019-04-12,2026-04-19,katru dienu
Piegāžu datu grupa,Valsts digitālās attīstības aģentūra,2018-10-11,2026-04-19,katru dienu
Pasūtītāju datu grupa,Valsts digitālās attīstības aģentūra,2018-10-11,2026-04-19,katru dienu
Informācija par Saeimas sēdēm,Latvijas Republikas Saeima,2018-09-27,2026-04-19,reizi nedēļā
Kadastra informācijas sistēmas atvērtie telpiskie dati,Valsts zemes dienests,2021-12-29,2026-04-18,reizi nedēļā
Iesniegumi par iepirkumu procedūru pārkāpumiem - ceturkšņi,Iepirkumu uzraudzības birojs,2018-09-25,2026-04-15,reizi trīs mēnešos
"Valsts budžeta izpilde pa iestādēm, budžeta programmām/apakšprogrammām un...",Valsts kase,2020-12-08,2026-04-13,reizi mēnesī
Valsts budžeta iestāžu izdevumi atlīdzībai,Valsts kase,2025-02-10,2026-04-13,reizi mēnesī
Valsts pamatbudžeta un speciālā budžeta ieņēmumi,Valsts kase,2024-05-29,2026-04-13,reizi mēnesī
"TVP tīmekļvietņu apmeklējuma statistika, apkopojums",Valsts kanceleja,2021-04-06,2026-04-07,reizi mēnesī
